Uva - Valor da produção (2022),,
localidade,valor,unidade
Rondônia,415,Mil Reais
Acre,-,Mil Reais
Amazonas,-,Mil Reais
Roraima,-,Mil Reais
Pará,-,Mil Reais
Amapá,-,Mil Reais
Tocantins,45,Mil Reais
Maranhão,-,Mil Reais
Piauí,91,Mil Reais
Ceará,3.055,Mil Reais
Rio Grande do Norte,59,Mil Reais
Paraíba,9.460,Mil Reais
Pernambuco,1.712.957,Mil Reais
Alagoas,-,Mil Reais
Sergipe,-,Mil Reais
Bahia,285.431,Mil Reais
Minas Gerais,107.721,Mil Reais
Espírito Santo,20.463,Mil Reais
Rio de Janeiro,528,Mil Reais
São Paulo,729.601,Mil Reais
Paraná,270.050,Mil Reais
Santa Catarina,138.391,Mil Reais
Rio Grande do Sul,1.227.459,Mil Reais
Mato Grosso do Sul,795,Mil Reais
Mato Grosso,7.621,Mil Reais
Goiás,6.802,Mil Reais
Distrito Federal,15.960,Mil Reais
Fonte: PAM
,,
